Pop2014_Under5,Pop2014_5to17,Pop2014_18to44,Pop2014_45to64,Pop2014_Over65,PopEst2014_Total
7.63,21.63,32.89,24.39,13.46,71828
6.47,15.92,32.26,25.43,19.92,127448
6.05,15.77,43.9,23.2,11.08,137682
5.68,14.71,24.99,27.99,26.63,53119
7.71,20.55,38.35,21.09,12.3,37957
6.78,21.32,35.98,24.35,11.56,9346
4.56,12.88,22.08,24.41,36.07,20231
6.67,18.39,37.12,23.98,13.85,4087191
4.61,14.06,26.05,28.35,26.93,203361
7.32,20.66,31.45,24.79,15.78,108101
5.94,15.94,35.88,24.5,17.74,1004516
6.03,18.34,34.6,23,18.03,401918
7.26,21.07,31,24.89,15.78,46695
4.12,13.26,24.81,29.66,28.15,218844
7.48,18.68,35.81,20.62,17.4,203247
